PFI,FEATURE_ID,PARENT_FEA,FEATURE_TY,FEATURE_SU,FEATURE_ST,NAME,NAME_LABEL,PARENT_NAM,CHILD_EXIS,AUTH_ORG_C,AUTH_ORG_I,AUTH_ORG_V,VMADD_PFI,VICNAMES_I,VICNAMES_S,THEME1,THEME2,STATE,CREATE_DAT,SUPERCEDED,CREATE_DA0,OBJECTID
134710,134710,,emergency facility,police station,,ALEXANDRA POLICE STATION,Alexandra Police Station,,,107,EAL,"""2021-04-20T00:00:00.000Z""",51913267,188,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887916
134827,134827,,emergency facility,police station,,ANGLESEA POLICE STATION,Anglesea Police Station,,,107,WAG,"""2021-04-20T00:00:00.000Z""",53046487,392,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887917
134850,134850,,emergency facility,police station,,APOLLO BAY POLICE STATION,Apollo Bay Police Station,,,107,WAB,"""2021-04-20T00:00:00.000Z""",127044959,454,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887918
134862,134862,,emergency facility,police station,,APSLEY POLICE STATION,Apsley Police Station,,,107,WAS,"""2021-04-20T00:00:00.000Z""",54279590,474,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887919
134873,134873,,emergency facility,police station,,ARARAT POLICE STATION,Ararat Police Station,,,107,WAR,"""2021-04-20T00:00:00.000Z""",134102501,496,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887920
134933,134933,,emergency facility,police station,,ASHBURTON POLICE STATION,Ashburton Police Station,,,107,EAT,"""2021-04-20T00:00:00.000Z""",208619530,652,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887921
134996,134996,,emergency facility,police station,,AVOCA POLICE STATION,Avoca Police Station,,,107,WAV,"""2021-04-20T00:00:00.000Z""",54602063,731,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887922
135009,135009,,emergency facility,police station,,AVONDALE HEIGHTS POLICE STATION,Avondale Heights Police Station,,,107,NAH,"""2021-04-20T00:00:00.000Z""",53612905,748,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887923
135019,135019,,emergency facility,police station,,AXEDALE POLICE STATION,Axedale Police Station,,,107,WAX,"""2021-04-20T00:00:00.000Z""",134118373,767,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887924
135028,135028,,emergency facility,police station,,BACCHUS MARSH POLICE STATION,Bacchus Marsh Police Station,,,107,WBM,"""2021-04-20T00:00:00.000Z""",125629058,792,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887925
135081,135081,,emergency facility,police station,,BALLAN POLICE STATION,Ballan Police Station,,,107,WBN,"""2021-04-20T00:00:00.000Z""",52237868,1035,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887926
135086,135086,,emergency facility,police station,,BALLARAT POLICE STATION,Ballarat Police Station,,,107,WBA,"""2021-04-20T00:00:00.000Z""",135790503,1071,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887927
135118,135118,,emergency facility,police station,,BALMORAL POLICE STATION,Balmoral Police Station,,,107,WBL,"""2021-04-20T00:00:00.000Z""",130656373,1118,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887928
135159,135159,,emergency facility,police station,,BANNOCKBURN POLICE STATION,Bannockburn Police Station,,,107,WBB,"""2021-04-20T00:00:00.000Z""",203814436,1210,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887929
135285,135285,,emergency facility,police station,,BEAUFORT POLICE STATION,Beaufort Police Station,,,107,WBF,"""2021-04-20T00:00:00.000Z""",53699774,1649,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887930
135303,135303,,emergency facility,police station,,BEEAC POLICE STATION,Beeac Police Station,,,107,WBC,"""2021-04-20T00:00:00.000Z""",135942499,1689,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887931
135306,135306,,emergency facility,police station,,BEECHWORTH POLICE STATION,Beechworth Police Station,,,107,EBC,"""2021-04-20T00:00:00.000Z""",54197461,1711,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887932
135331,135331,,emergency facility,police station,,BELGRAVE POLICE STATION,Belgrave Police Station,,,107,EBV,"""2021-04-20T00:00:00.000Z""",150122817,1753,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887933
135345,135345,,emergency facility,police station,,BELLARINE POLICE STATION,Bellarine Police Station,,,107,WBR,"""2021-04-20T00:00:00.000Z""",54745094,-1384120,11,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887934
135404,135404,,emergency facility,police station,,BENALLA POLICE STATION,Benalla Police Station,,,107,EBN,"""2021-04-20T00:00:00.000Z""",53159841,1886,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887935
135422,135422,,emergency facility,police station,,BENDIGO POLICE STATION,Bendigo Police Station,,,107,WBI,"""2021-04-20T00:00:00.000Z""",53667515,1926,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887936
135441,135441,1020346,emergency facility,police station,,BENDOC POLICE STATION,Bendoc Police Station,BENDOC COMMUNITY RECREATION RESERVE,,107,EBE,"""2021-04-20T00:00:00.000Z""",54416657,1944,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887937
135496,135496,,emergency facility,police station,,BETHANGA POLICE STATION,Bethanga Police Station,,,107,EBA,"""2021-04-20T00:00:00.000Z""",53164882,-1384105,11,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887938
135508,135508,,emergency facility,police station,,BEULAH POLICE STATION,Beulah Police Station,,,107,WBH,"""2021-04-20T00:00:00.000Z""",54560166,2124,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887939
135578,135578,,emergency facility,police station,,BIRCHIP POLICE STATION,Birchip Police Station,,,107,WBP,"""2021-04-20T00:00:00.000Z""",134108091,2323,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887940
135589,135589,,emergency facility,police station,,BIRREGURRA POLICE STATION,Birregurra Police Station,,,107,WBG,"""2021-04-20T00:00:00.000Z""",53054503,2351,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887941
135694,135694,,emergency facility,police station,,BOOLARRA POLICE STATION,Boolarra Police Station,,,107,EBR,"""2021-04-20T00:00:00.000Z""",53243826,2932,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887942
135828,135828,,emergency facility,police station,,BRIGHT POLICE STATION,Bright Police Station,,,107,EBI,"""2021-04-20T00:00:00.000Z""",53396829,3423,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887948
135863,135863,,emergency facility,police station,,BROADFORD POLICE STATION,Broadford Police Station,,,107,EBF,"""2021-04-20T00:00:00.000Z""",53678279,3507,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887949
135712,135712,,emergency facility,police station,,BOORT POLICE STATION,Boort Police Station,,,107,WBT,"""2021-04-20T00:00:00.000Z""",53157469,2998,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887943
135739,135739,,emergency facility,police station,,BOROONDARA POLICE STATION,Boroondara Police Station,,,107,EBB,"""2021-04-20T00:00:00.000Z""",54713765,-1384144,11,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1887944
