Year,Police Region,Local Government Area
2021,1 North West Metro,Banyule
2021,1 North West Metro,Brimbank
2021,1 North West Metro,Darebin
2021,1 North West Metro,Hobsons Bay
2021,1 North West Metro,Hume
2021,1 North West Metro,Maribyrnong
2021,1 North West Metro,Melbourne
2021,1 North West Metro,Melton
2021,1 North West Metro,Moonee Valley
2021,1 North West Metro,Moreland
2021,1 North West Metro,Nillumbik
2021,1 North West Metro,Whittlesea
2021,1 North West Metro,Wyndham
2021,1 North West Metro,Yarra
2021,1 North West Metro,Total
2021,2 Eastern,Alpine
2021,2 Eastern,Bass Coast
2021,2 Eastern,Baw Baw
2021,2 Eastern,Benalla
2021,2 Eastern,Boroondara
2021,2 Eastern,East Gippsland
2021,2 Eastern,Greater Shepparton
2021,2 Eastern,Indigo
2021,2 Eastern,Knox
2021,2 Eastern,Latrobe
2021,2 Eastern,Manningham
2021,2 Eastern,Mansfield
2021,2 Eastern,Maroondah
2021,2 Eastern,Mitchell
2021,2 Eastern,Moira
2021,2 Eastern,Monash
2021,2 Eastern,Murrindindi
2021,2 Eastern,South Gippsland
2021,2 Eastern,Strathbogie
2021,2 Eastern,Towong
2021,2 Eastern,Wangaratta
2021,2 Eastern,Wellington
2021,2 Eastern,Whitehorse
2021,2 Eastern,Wodonga
2021,2 Eastern,Yarra Ranges
2021,2 Eastern,Total
2021,3 Southern Metro,Bayside
2021,3 Southern Metro,Cardinia
2021,3 Southern Metro,Casey
2021,3 Southern Metro,Frankston
2021,3 Southern Metro,Glen Eira
2021,3 Southern Metro,Greater Dandenong
2021,3 Southern Metro,Kingston
2021,3 Southern Metro,Mornington Peninsula
2021,3 Southern Metro,Port Phillip
2021,3 Southern Metro,Stonnington
2021,3 Southern Metro,Total
2021,4 Western,Ararat
2021,4 Western,Ballarat
2021,4 Western,Buloke
2021,4 Western,Campaspe
2021,4 Western,Central Goldfields
2021,4 Western,Colac-Otway
2021,4 Western,Corangamite
2021,4 Western,Gannawarra
2021,4 Western,Glenelg
2021,4 Western,Golden Plains
2021,4 Western,Greater Bendigo
2021,4 Western,Greater Geelong
2021,4 Western,Hepburn
2021,4 Western,Hindmarsh
2021,4 Western,Horsham
2021,4 Western,Loddon
2021,4 Western,Macedon Ranges
2021,4 Western,Mildura
2021,4 Western,Moorabool
2021,4 Western,Mount Alexander
2021,4 Western,Moyne
2021,4 Western,Northern Grampians
2021,4 Western,Pyrenees
2021,4 Western,Queenscliffe
2021,4 Western,Southern Grampians
2021,4 Western,Surf Coast
2021,4 Western,Swan Hill
2021,4 Western,Warrnambool
2021,4 Western,West Wimmera
2021,4 Western,Yarriambiack
2021,4 Western,Total
2021,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities
2021,Justice Institutions and Immigration Facilities,Total
2021,Unincorporated Vic,Unincorporated Vic
2021,Unincorporated Vic,Total
2020,1 North West Metro,Banyule
2020,1 North West Metro,Brimbank
2020,1 North West Metro,Darebin
2020,1 North West Metro,Hobsons Bay
2020,1 North West Metro,Hume
2020,1 North West Metro,Maribyrnong
2020,1 North West Metro,Melbourne
2020,1 North West Metro,Melton
2020,1 North West Metro,Moonee Valley
2020,1 North West Metro,Moreland
2020,1 North West Metro,Nillumbik
2020,1 North West Metro,Whittlesea
2020,1 North West Metro,Wyndham
2020,1 North West Metro,Yarra
2020,1 North West Metro,Total
2020,2 Eastern,Alpine
2020,2 Eastern,Bass Coast
2020,2 Eastern,Baw Baw
2020,2 Eastern,Benalla
2020,2 Eastern,Boroondara
2020,2 Eastern,East Gippsland
2020,2 Eastern,Greater Shepparton
2020,2 Eastern,Indigo
2020,2 Eastern,Knox
2020,2 Eastern,Latrobe
2020,2 Eastern,Manningham
2020,2 Eastern,Mansfield
2020,2 Eastern,Maroondah
2020,2 Eastern,Mitchell
2020,2 Eastern,Moira
2020,2 Eastern,Monash
2020,2 Eastern,Murrindindi
2020,2 Eastern,South Gippsland
2020,2 Eastern,Strathbogie
2020,2 Eastern,Towong
2020,2 Eastern,Wangaratta
2020,2 Eastern,Wellington
2020,2 Eastern,Whitehorse
2020,2 Eastern,Wodonga
2020,2 Eastern,Yarra Ranges
2020,2 Eastern,Total
2020,3 Southern Metro,Bayside
2020,3 Southern Metro,Cardinia
2020,3 Southern Metro,Casey
2020,3 Southern Metro,Frankston
2020,3 Southern Metro,Glen Eira
2020,3 Southern Metro,Greater Dandenong
2020,3 Southern Metro,Kingston
2020,3 Southern Metro,Mornington Peninsula
2020,3 Southern Metro,Port Phillip
2020,3 Southern Metro,Stonnington
2020,3 Southern Metro,Total
2020,4 Western,Ararat
2020,4 Western,Ballarat
2020,4 Western,Buloke
2020,4 Western,Campaspe
2020,4 Western,Central Goldfields
2020,4 Western,Colac-Otway
2020,4 Western,Corangamite
2020,4 Western,Gannawarra
2020,4 Western,Glenelg
2020,4 Western,Golden Plains
2020,4 Western,Greater Bendigo
2020,4 Western,Greater Geelong
2020,4 Western,Hepburn
2020,4 Western,Hindmarsh
2020,4 Western,Horsham
2020,4 Western,Loddon
2020,4 Western,Macedon Ranges
2020,4 Western,Mildura
2020,4 Western,Moorabool
2020,4 Western,Mount Alexander
2020,4 Western,Moyne
2020,4 Western,Northern Grampians
2020,4 Western,Pyrenees
2020,4 Western,Queenscliffe
2020,4 Western,Southern Grampians
2020,4 Western,Surf Coast
2020,4 Western,Swan Hill
2020,4 Western,Warrnambool
2020,4 Western,West Wimmera
2020,4 Western,Yarriambiack
2020,4 Western,Total
2020,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities
2020,Justice Institutions and Immigration Facilities,Total
2020,Unincorporated Vic,Unincorporated Vic
2020,Unincorporated Vic,Total
2019,1 North West Metro,Banyule
2019,1 North West Metro,Brimbank
2019,1 North West Metro,Darebin
2019,1 North West Metro,Hobsons Bay
2019,1 North West Metro,Hume
2019,1 North West Metro,Maribyrnong
2019,1 North West Metro,Melbourne
2019,1 North West Metro,Melton
2019,1 North West Metro,Moonee Valley
2019,1 North West Metro,Moreland
2019,1 North West Metro,Nillumbik
2019,1 North West Metro,Whittlesea
2019,1 North West Metro,Wyndham
2019,1 North West Metro,Yarra
2019,1 North West Metro,Total
2019,2 Eastern,Alpine
2019,2 Eastern,Bass Coast
2019,2 Eastern,Baw Baw
2019,2 Eastern,Benalla
2019,2 Eastern,Boroondara
2019,2 Eastern,East Gippsland
2019,2 Eastern,Greater Shepparton
2019,2 Eastern,Indigo
2019,2 Eastern,Knox
2019,2 Eastern,Latrobe
2019,2 Eastern,Manningham
2019,2 Eastern,Mansfield
2019,2 Eastern,Maroondah
2019,2 Eastern,Mitchell
2019,2 Eastern,Moira
2019,2 Eastern,Monash
2019,2 Eastern,Murrindindi
2019,2 Eastern,South Gippsland
2019,2 Eastern,Strathbogie
2019,2 Eastern,Towong
2019,2 Eastern,Wangaratta
2019,2 Eastern,Wellington
2019,2 Eastern,Whitehorse
2019,2 Eastern,Wodonga
2019,2 Eastern,Yarra Ranges
2019,2 Eastern,Total
2019,3 Southern Metro,Bayside
2019,3 Southern Metro,Cardinia
2019,3 Southern Metro,Casey
2019,3 Southern Metro,Frankston
2019,3 Southern Metro,Glen Eira
2019,3 Southern Metro,Greater Dandenong
2019,3 Southern Metro,Kingston
2019,3 Southern Metro,Mornington Peninsula
2019,3 Southern Metro,Port Phillip
2019,3 Southern Metro,Stonnington
2019,3 Southern Metro,Total
2019,4 Western,Ararat
2019,4 Western,Ballarat
2019,4 Western,Buloke
2019,4 Western,Campaspe
2019,4 Western,Central Goldfields
2019,4 Western,Colac-Otway
2019,4 Western,Corangamite
2019,4 Western,Gannawarra
2019,4 Western,Glenelg
2019,4 Western,Golden Plains
2019,4 Western,Greater Bendigo
2019,4 Western,Greater Geelong
2019,4 Western,Hepburn
2019,4 Western,Hindmarsh
2019,4 Western,Horsham
2019,4 Western,Loddon
2019,4 Western,Macedon Ranges
2019,4 Western,Mildura
2019,4 Western,Moorabool
2019,4 Western,Mount Alexander
2019,4 Western,Moyne
2019,4 Western,Northern Grampians
2019,4 Western,Pyrenees
2019,4 Western,Queenscliffe
2019,4 Western,Southern Grampians
2019,4 Western,Surf Coast
2019,4 Western,Swan Hill
2019,4 Western,Warrnambool
2019,4 Western,West Wimmera
2019,4 Western,Yarriambiack
2019,4 Western,Total
2019,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities
2019,Justice Institutions and Immigration Facilities,Total
2019,Unincorporated Vic,Unincorporated Vic
2019,Unincorporated Vic,Total
2018,1 North West Metro,Banyule
2018,1 North West Metro,Brimbank
2018,1 North West Metro,Darebin
2018,1 North West Metro,Hobsons Bay
2018,1 North West Metro,Hume
2018,1 North West Metro,Maribyrnong
2018,1 North West Metro,Melbourne
2018,1 North West Metro,Melton
2018,1 North West Metro,Moonee Valley
2018,1 North West Metro,Moreland
2018,1 North West Metro,Nillumbik
2018,1 North West Metro,Whittlesea
2018,1 North West Metro,Wyndham
2018,1 North West Metro,Yarra
2018,1 North West Metro,Total
2018,2 Eastern,Alpine
2018,2 Eastern,Bass Coast
2018,2 Eastern,Baw Baw
2018,2 Eastern,Benalla
2018,2 Eastern,Boroondara
2018,2 Eastern,East Gippsland
2018,2 Eastern,Greater Shepparton
2018,2 Eastern,Indigo
2018,2 Eastern,Knox
2018,2 Eastern,Latrobe
2018,2 Eastern,Manningham
2018,2 Eastern,Mansfield
2018,2 Eastern,Maroondah
2018,2 Eastern,Mitchell
2018,2 Eastern,Moira
2018,2 Eastern,Monash
2018,2 Eastern,Murrindindi
2018,2 Eastern,South Gippsland
2018,2 Eastern,Strathbogie
2018,2 Eastern,Towong
2018,2 Eastern,Wangaratta
2018,2 Eastern,Wellington
2018,2 Eastern,Whitehorse
2018,2 Eastern,Wodonga
2018,2 Eastern,Yarra Ranges
2018,2 Eastern,Total
2018,3 Southern Metro,Bayside
2018,3 Southern Metro,Cardinia
2018,3 Southern Metro,Casey
2018,3 Southern Metro,Frankston
2018,3 Southern Metro,Glen Eira
2018,3 Southern Metro,Greater Dandenong
2018,3 Southern Metro,Kingston
2018,3 Southern Metro,Mornington Peninsula
2018,3 Southern Metro,Port Phillip
2018,3 Southern Metro,Stonnington
2018,3 Southern Metro,Total
2018,4 Western,Ararat
2018,4 Western,Ballarat
2018,4 Western,Buloke
2018,4 Western,Campaspe
2018,4 Western,Central Goldfields
2018,4 Western,Colac-Otway
2018,4 Western,Corangamite
2018,4 Western,Gannawarra
2018,4 Western,Glenelg
2018,4 Western,Golden Plains
2018,4 Western,Greater Bendigo
2018,4 Western,Greater Geelong
2018,4 Western,Hepburn
2018,4 Western,Hindmarsh
2018,4 Western,Horsham
2018,4 Western,Loddon
2018,4 Western,Macedon Ranges
2018,4 Western,Mildura
2018,4 Western,Moorabool
2018,4 Western,Mount Alexander
2018,4 Western,Moyne
2018,4 Western,Northern Grampians
2018,4 Western,Pyrenees
2018,4 Western,Queenscliffe
2018,4 Western,Southern Grampians
2018,4 Western,Surf Coast
2018,4 Western,Swan Hill
2018,4 Western,Warrnambool
2018,4 Western,West Wimmera
2018,4 Western,Yarriambiack
2018,4 Western,Total
2018,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities
