,Local Government Area,Police Stations in LGA
0,Alpine,6
1,Ararat,4
2,Ballarat,5
3,Banyule,3
4,Bass Coast,6
5,Baw Baw,5
6,Bayside,2
7,Benalla,1
8,Boroondara,3
9,Brimbank,2
10,Buloke,6
11,Campaspe,7
12,Cardinia,4
13,Casey,3
14,Central Goldfields,2
15,Colac-Otway,7
16,Corangamite,7
17,Darebin,3
18,East Gippsland,10
19,Frankston,2
20,Gannawarra,4
21,Glen Eira,1
22,Glenelg,5
23,Golden Plains,6
24,Greater Bendigo,6
25,Greater Dandenong,2
26,Greater Geelong,7
27,Greater Shepparton,5
28,Hepburn,4
29,Hindmarsh,4
30,Hobsons Bay,4
31,Horsham,2
32,Hume,5
33,Indigo,5
34,Kingston,3
35,Knox,3
36,Latrobe,5
37,Loddon,7
38,Macedon Ranges,8
39,Manningham,2
40,Mansfield,4
41,Maribyrnong,1
42,Maroondah,2
43,Melbourne,5
44,Melton,2
45,Mildura,7
46,Mitchell,5
47,Moira,6
48,Monash,5
49,Moonee Valley,3
50,Moorabool,3
51,Moreland,1
52,Mornington Peninsula,6
53,Mount Alexander,3
54,Moyne,4
55,Murrindindi,5
56,Nillumbik,2
57,Northern Grampians,3
58,Port Phillip,2
59,Pyrenees,4
60,Queenscliffe,1
61,South Gippsland,6
62,Southern Grampians,8
63,Stonnington,2
64,Strathbogie,3
65,Surf Coast,4
66,Swan Hill,6
67,Towong,5
68,Wangaratta,4
69,Warrnambool,1
70,Wellington,8
71,West Wimmera,4
72,Whitehorse,2
73,Whittlesea,4
74,Wodonga,1
75,Wyndham,2
76,Yarra,3
77,Yarra Ranges,10
78,Yarriambiack,8
