,Year,Local Government Area,Total Population
0,2012,Alpine,12182
1,2012,Ararat,11399
2,2012,Ballarat,96727
3,2012,Banyule,123583
4,2012,Bass Coast,30811
5,2012,Baw Baw,44505
6,2012,Bayside,96970
7,2012,Benalla,13848
8,2012,Boroondara,168482
9,2012,Brimbank,193773
10,2012,Buloke,6433
11,2012,Campaspe,37040
12,2012,Cardinia,80421
13,2012,Casey,269239
14,2012,Central Goldfields,12713
15,2012,Colac-Otway,20901
16,2012,Corangamite,16469
17,2012,Darebin,144985
18,2012,East Gippsland,43328
19,2012,Frankston,132193
20,2012,Gannawarra,10497
21,2012,Glen Eira,139115
22,2012,Glenelg,19824
23,2012,Golden Plains,19603
24,2012,Greater Bendigo,103904
25,2012,Greater Dandenong,145115
26,2012,Greater Geelong,219151
27,2012,Greater Shepparton,62561
28,2012,Hepburn,14824
29,2012,Hindmarsh,5856
30,2012,Hobsons Bay,88338
31,2012,Horsham,19607
32,2012,Hume,179201
33,2012,Indigo,15453
34,2012,Kingston,150434
35,2012,Knox,155405
36,2012,Latrobe,74003
37,2012,Loddon,7528
38,2012,Macedon Ranges,43793
39,2012,Manningham,117439
40,2012,Mansfield,8096
41,2012,Maribyrnong,77178
42,2012,Maroondah,108433
43,2012,Melbourne,107577
44,2012,Melton,118328
45,2012,Mildura,52474
46,2012,Mitchell,36383
47,2012,Moira,28674
48,2012,Monash,180311
49,2012,Moonee Valley,113672
50,2012,Moorabool,29362
51,2012,Moreland,156966
52,2012,Mornington Peninsula,151699
53,2012,Mount Alexander,18052
54,2012,Moyne,16303
55,2012,Murrindindi,13455
56,2012,Nillumbik,62934
57,2012,Northern Grampians,11969
58,2012,Port Phillip,99892
59,2012,Pyrenees,6859
60,2012,Queenscliffe,3056
61,2012,South Gippsland,27925
62,2012,Southern Grampians,16460
63,2012,Stonnington,101409
64,2012,Strathbogie,9743
65,2012,Surf Coast,27529
66,2012,Swan Hill,20970
67,2012,Towong,5939
68,2012,Wangaratta,27437
69,2012,Warrnambool,33058
70,2012,Wellington,42444
71,2012,West Wimmera,4213
72,2012,Whitehorse,159660
73,2012,Whittlesea,169992
74,2012,Wodonga,36757
75,2012,Wyndham,179130
76,2012,Yarra,81267
77,2012,Yarra Ranges,149863
78,2012,Yarriambiack,7094
79,2013,Alpine,12282
80,2013,Ararat,11489
81,2013,Ballarat,98343
82,2013,Banyule,124313
83,2013,Bass Coast,31330
84,2013,Baw Baw,45626
85,2013,Bayside,98251
86,2013,Benalla,13877
87,2013,Boroondara,170484
88,2013,Brimbank,196168
89,2013,Buloke,6387
90,2013,Campaspe,37212
91,2013,Cardinia,84590
92,2013,Casey,278022
93,2013,Central Goldfields,12814
94,2013,Colac-Otway,21034
95,2013,Corangamite,16409
96,2013,Darebin,147271
97,2013,East Gippsland,43808
98,2013,Frankston,134350
99,2013,Gannawarra,10525
100,2013,Glen Eira,141259
101,2013,Glenelg,19796
102,2013,Golden Plains,20361
103,2013,Greater Bendigo,105956
104,2013,Greater Dandenong,148501
105,2013,Greater Geelong,223356
106,2013,Greater Shepparton,63243
107,2013,Hepburn,15021
108,2013,Hindmarsh,5851
109,2013,Hobsons Bay,89187
110,2013,Horsham,19693
111,2013,Hume,184872
112,2013,Indigo,15604
113,2013,Kingston,152335
114,2013,Knox,156346
115,2013,Latrobe,74123
116,2013,Loddon,7517
117,2013,Macedon Ranges,44594
118,2013,Manningham,118356
119,2013,Mansfield,8275
120,2013,Maribyrnong,79781
121,2013,Maroondah,109780
122,2013,Melbourne,118710
123,2013,Melton,123935
124,2013,Mildura,53155
125,2013,Mitchell,37787
126,2013,Moira,28904
127,2013,Monash,183254
128,2013,Moonee Valley,115463
129,2013,Moorabool,30409
130,2013,Moreland,160281
131,2013,Mornington Peninsula,154000
132,2013,Mount Alexander,18246
133,2013,Moyne,16430
134,2013,Murrindindi,13562
135,2013,Nillumbik,63173
136,2013,Northern Grampians,11879
137,2013,Port Phillip,102155
138,2013,Pyrenees,6937
139,2013,Queenscliffe,3001
140,2013,South Gippsland,28272
141,2013,Southern Grampians,16354
142,2013,Stonnington,103486
143,2013,Strathbogie,9866
144,2013,Surf Coast,28227
145,2013,Swan Hill,21002
146,2013,Towong,5960
147,2013,Wangaratta,27649
148,2013,Warrnambool,33422
149,2013,Wellington,42720
150,2013,West Wimmera,4123
151,2013,Whitehorse,162080
152,2013,Whittlesea,179271
153,2013,Wodonga,37574
154,2013,Wyndham,190210
155,2013,Yarra,83961
156,2013,Yarra Ranges,150901
157,2013,Yarriambiack,7031
158,2014,Alpine,12354
159,2014,Ararat,11559
160,2014,Ballarat,99913
161,2014,Banyule,125106
162,2014,Bass Coast,31916
163,2014,Baw Baw,46643
164,2014,Bayside,99796
165,2014,Benalla,13897
166,2014,Boroondara,172659
167,2014,Brimbank,198467
168,2014,Buloke,6334
169,2014,Campaspe,37337
170,2014,Cardinia,88069
171,2014,Casey,287936
172,2014,Central Goldfields,12883
173,2014,Colac-Otway,21130
174,2014,Corangamite,16339
175,2014,Darebin,149510
176,2014,East Gippsland,44276
177,2014,Frankston,136180
178,2014,Gannawarra,10533
179,2014,Glen Eira,143693
180,2014,Glenelg,19754
181,2014,Golden Plains,20898
182,2014,Greater Bendigo,107954
183,2014,Greater Dandenong,152134
184,2014,Greater Geelong,227743
185,2014,Greater Shepparton,63918
186,2014,Hepburn,15183
187,2014,Hindmarsh,5843
188,2014,Hobsons Bay,90416
189,2014,Horsham,19747
190,2014,Hume,191277
191,2014,Indigo,15731
192,2014,Kingston,154209
193,2014,Knox,157433
194,2014,Latrobe,74133
195,2014,Loddon,7512
196,2014,Macedon Ranges,45470
197,2014,Manningham,119436
198,2014,Mansfield,8394
199,2014,Maribyrnong,82462
200,2014,Maroondah,111420
201,2014,Melbourne,127974
202,2014,Melton,129308
203,2014,Mildura,53736
204,2014,Mitchell,39083
205,2014,Moira,29099
206,2014,Monash,186149
207,2014,Moonee Valley,117762
208,2014,Moorabool,31065
209,2014,Moreland,164098
210,2014,Mornington Peninsula,156499
211,2014,Mount Alexander,18500
212,2014,Moyne,16511
213,2014,Murrindindi,13686
214,2014,Nillumbik,63432
215,2014,Northern Grampians,11776
216,2014,Port Phillip,104450
217,2014,Pyrenees,7046
218,2014,Queenscliffe,2970
219,2014,South Gippsland,28520
220,2014,Southern Grampians,16254
221,2014,Stonnington,105893
222,2014,Strathbogie,10017
223,2014,Surf Coast,28873
224,2014,Swan Hill,20939
225,2014,Towong,5981
226,2014,Wangaratta,27861
227,2014,Warrnambool,33728
228,2014,Wellington,42947
229,2014,West Wimmera,4037
230,2014,Whitehorse,164319
231,2014,Whittlesea,187898
232,2014,Wodonga,38368
233,2014,Wyndham,201511
234,2014,Yarra,87227
235,2014,Yarra Ranges,151967
236,2014,Yarriambiack,6923
237,2015,Alpine,12428
238,2015,Ararat,11643
239,2015,Ballarat,101478
240,2015,Banyule,126087
241,2015,Bass Coast,32575
242,2015,Baw Baw,47836
243,2015,Bayside,101267
244,2015,Benalla,13922
245,2015,Boroondara,174752
246,2015,Brimbank,200859
247,2015,Buloke,6305
248,2015,Campaspe,37428
249,2015,Cardinia,92297
250,2015,Casey,299527
251,2015,Central Goldfields,12949
252,2015,Colac-Otway,21229
253,2015,Corangamite,16273
254,2015,Darebin,151973
255,2015,East Gippsland,44867
256,2015,Frankston,137789
257,2015,Gannawarra,10535
258,2015,Glen Eira,145923
259,2015,Glenelg,19721
260,2015,Golden Plains,21387
261,2015,Greater Bendigo,109907
262,2015,Greater Dandenong,156060
263,2015,Greater Geelong,232925
264,2015,Greater Shepparton,64488
265,2015,Hepburn,15333
266,2015,Hindmarsh,5807
267,2015,Hobsons Bay,91673
268,2015,Horsham,19791
269,2015,Hume,198175
270,2015,Indigo,15921
271,2015,Kingston,156243
272,2015,Knox,158699
273,2015,Latrobe,74265
274,2015,Loddon,7530
275,2015,Macedon Ranges,46372
276,2015,Manningham,120784
277,2015,Mansfield,8529
278,2015,Maribyrnong,84782
279,2015,Maroondah,113022
280,2015,Melbourne,136871
281,2015,Melton,134914
282,2015,Mildura,54155
283,2015,Mitchell,40263
284,2015,Moira,29287
285,2015,Monash,189173
286,2015,Moonee Valley,120230
287,2015,Moorabool,31747
288,2015,Moreland,167869
289,2015,Mornington Peninsula,158830
290,2015,Mount Alexander,18793
291,2015,Moyne,16590
292,2015,Murrindindi,13847
293,2015,Nillumbik,63674
294,2015,Northern Grampians,11643
295,2015,Port Phillip,106380
296,2015,Pyrenees,7178
297,2015,Queenscliffe,2932
298,2015,South Gippsland,28780
299,2015,Southern Grampians,16161
300,2015,Stonnington,108027
301,2015,Strathbogie,10174
302,2015,Surf Coast,29624
303,2015,Swan Hill,20892
304,2015,Towong,6004
305,2015,Wangaratta,28142
306,2015,Warrnambool,34004
307,2015,Wellington,43171
308,2015,West Wimmera,3973
309,2015,Whitehorse,166678
310,2015,Whittlesea,196846
311,2015,Wodonga,39222
312,2015,Wyndham,213814
313,2015,Yarra,89922
314,2015,Yarra Ranges,153390
315,2015,Yarriambiack,6825
316,2016,Alpine,12577
317,2016,Ararat,11744
318,2016,Ballarat,103499
319,2016,Banyule,127446
320,2016,Bass Coast,33463
321,2016,Baw Baw,49295
322,2016,Bayside,102911
323,2016,Benalla,13981
324,2016,Boroondara,177275
325,2016,Brimbank,204189
326,2016,Buloke,6283
327,2016,Campaspe,37594
328,2016,Cardinia,97572
329,2016,Casey,312788
330,2016,Central Goldfields,13086
331,2016,Colac-Otway,21361
332,2016,Corangamite,16242
333,2016,Darebin,155125
334,2016,East Gippsland,45599
335,2016,Frankston,139501
336,2016,Gannawarra,10566
337,2016,Glen Eira,148582
338,2016,Glenelg,19758
339,2016,Golden Plains,22015
340,2016,Greater Bendigo,112266
341,2016,Greater Dandenong,160221
342,2016,Greater Geelong,239528
343,2016,Greater Shepparton,65071
344,2016,Hepburn,15524
345,2016,Hindmarsh,5783
346,2016,Hobsons Bay,93444
347,2016,Horsham,19883
348,2016,Hume,207040
349,2016,Indigo,16164
350,2016,Kingston,158940
