,Year,Police Region,Local Government Area,Total Population
0,2012,2 Eastern,Alpine,12182
1,2012,4 Western,Ararat,11399
2,2012,4 Western,Ballarat,96727
3,2012,1 North West Metro,Banyule,123583
4,2012,2 Eastern,Bass Coast,30811
5,2012,2 Eastern,Baw Baw,44505
6,2012,3 Southern Metro,Bayside,96970
7,2012,2 Eastern,Benalla,13848
8,2012,2 Eastern,Boroondara,168482
9,2012,1 North West Metro,Brimbank,193773
10,2012,4 Western,Buloke,6433
11,2012,4 Western,Campaspe,37040
12,2012,3 Southern Metro,Cardinia,80421
13,2012,3 Southern Metro,Casey,269239
14,2012,4 Western,Central Goldfields,12713
15,2012,4 Western,Colac-Otway,20901
16,2012,4 Western,Corangamite,16469
17,2012,1 North West Metro,Darebin,144985
18,2012,2 Eastern,East Gippsland,43328
19,2012,3 Southern Metro,Frankston,132193
20,2012,4 Western,Gannawarra,10497
21,2012,3 Southern Metro,Glen Eira,139115
22,2012,4 Western,Glenelg,19824
23,2012,4 Western,Golden Plains,19603
24,2012,4 Western,Greater Bendigo,103904
25,2012,3 Southern Metro,Greater Dandenong,145115
26,2012,4 Western,Greater Geelong,219151
27,2012,2 Eastern,Greater Shepparton,62561
28,2012,4 Western,Hepburn,14824
29,2012,4 Western,Hindmarsh,5856
30,2012,1 North West Metro,Hobsons Bay,88338
31,2012,4 Western,Horsham,19607
32,2012,1 North West Metro,Hume,179201
33,2012,2 Eastern,Indigo,15453
34,2012,3 Southern Metro,Kingston,150434
35,2012,2 Eastern,Knox,155405
36,2012,2 Eastern,Latrobe,74003
37,2012,4 Western,Loddon,7528
38,2012,4 Western,Macedon Ranges,43793
39,2012,2 Eastern,Manningham,117439
40,2012,2 Eastern,Mansfield,8096
41,2012,1 North West Metro,Maribyrnong,77178
42,2012,2 Eastern,Maroondah,108433
43,2012,1 North West Metro,Melbourne,107577
44,2012,1 North West Metro,Melton,118328
45,2012,4 Western,Mildura,52474
46,2012,2 Eastern,Mitchell,36383
47,2012,2 Eastern,Moira,28674
48,2012,2 Eastern,Monash,180311
49,2012,1 North West Metro,Moonee Valley,113672
50,2012,4 Western,Moorabool,29362
51,2012,1 North West Metro,Moreland,156966
52,2012,3 Southern Metro,Mornington Peninsula,151699
53,2012,4 Western,Mount Alexander,18052
54,2012,4 Western,Moyne,16303
55,2012,2 Eastern,Murrindindi,13455
56,2012,1 North West Metro,Nillumbik,62934
57,2012,4 Western,Northern Grampians,11969
58,2012,3 Southern Metro,Port Phillip,99892
59,2012,4 Western,Pyrenees,6859
60,2012,4 Western,Queenscliffe,3056
61,2012,2 Eastern,South Gippsland,27925
62,2012,4 Western,Southern Grampians,16460
63,2012,3 Southern Metro,Stonnington,101409
64,2012,2 Eastern,Strathbogie,9743
65,2012,4 Western,Surf Coast,27529
66,2012,4 Western,Swan Hill,20970
67,2012,2 Eastern,Towong,5939
68,2012,2 Eastern,Wangaratta,27437
69,2012,4 Western,Warrnambool,33058
70,2012,2 Eastern,Wellington,42444
71,2012,4 Western,West Wimmera,4213
72,2012,2 Eastern,Whitehorse,159660
73,2012,1 North West Metro,Whittlesea,169992
74,2012,2 Eastern,Wodonga,36757
75,2012,1 North West Metro,Wyndham,179130
76,2012,1 North West Metro,Yarra,81267
77,2012,2 Eastern,Yarra Ranges,149863
78,2012,4 Western,Yarriambiack,7094
79,2013,2 Eastern,Alpine,12282
80,2013,4 Western,Ararat,11489
81,2013,4 Western,Ballarat,98343
82,2013,1 North West Metro,Banyule,124313
83,2013,2 Eastern,Bass Coast,31330
84,2013,2 Eastern,Baw Baw,45626
85,2013,3 Southern Metro,Bayside,98251
86,2013,2 Eastern,Benalla,13877
87,2013,2 Eastern,Boroondara,170484
88,2013,1 North West Metro,Brimbank,196168
89,2013,4 Western,Buloke,6387
90,2013,4 Western,Campaspe,37212
91,2013,3 Southern Metro,Cardinia,84590
